date,site.name,site,site.block,num.transect ,quadrat,Bare rock,Rubble,Sand,Bare space,Acanthastrea,Acropora  other,Acropora  pulchra,Acropora hyacinthus,Acropora austera,Astreopora,Cyphastrea,Favia,Fungia,Gardineroseris,Heropolitha,Leptastrea,Leptoseris,Lobophyllia,Millepora,Montastraea,Montipora,Pachyseris,Pavona,Pleuractis ,Pocillopora other,Pocillopora.acuta,Pocillopora meandrina,Pocillopora verrucosa,Porites other,Porites lobata,Porites rus,Psammacora,Sandolitha,Stylocoeniella,Tubastrea,CCA,Fleshy algae,Turf algae,Macroalgae,coral.cover,algal.cover,TOTALS
20190708,HL,B,2,1,12,0.1,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0,0.1,1
20190708,HL,B,2,1,13,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,0.2,0,1
20190708,HL,B,2,1,14,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,0.1,,,0.2,0.1,1
20190708,HL,B,2,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.4,0.6,0.4,1
20190708,HL,B,2,1,16,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190708,HL,B,2,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
20190708,HL,B,2,1,18,,0.9,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,0.1,0,1
20190708,HL,B,2,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,0.5,0.5,1
20190708,HL,B,2,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.1,0.9,0.1,1
20190708,HL,B,2,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.1,0.9,0.1,1
20190708,HL,B,2,2,22,,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,0.1,,,0.2,0.1,1
20190708,HL,B,2,2,23,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,0.5,,0.3,,0.2,0.3,1
20190708,HL,B,2,2,24,,0.3,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.4,,,,,,,,0.2,,0.5,0.2,1
20190708,HL,B,2,2,25,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190708,HL,B,2,2,26,,0.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0,0.1,1
20190708,HL,B,2,2,27,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,0.1,0.3,0.1,1
20190708,HL,B,2,2,28,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190708,HL,B,2,2,29,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190708,HL,B,2,2,30,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,0.1,0,1
20190708,HL,B,2,2,31,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190708,HL,B,2,2,32,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0,0.1,1
20190708,HL,B,2,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
20190708,HL,B,2,2,34,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,0.2,0,1
20190708,HL,B,2,2,35,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.6,0,1
20190708,HL,B,2,2,36,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190708,HL,B,2,2,37,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,,,,,,0.1,,,0.6,0.1,1
20190708,HL,B,2,2,38,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.8,0,1
20190708,HL,B,2,2,39,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.9,0,1
20190708,HL,B,2,2,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,0,1
20190724,PB,A,3,1,1,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.9,0,1
20190724,PB,A,3,1,2,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.9,0,1
20190724,PB,A,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
20190724,PB,A,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
20190724,PB,A,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.2,0.8,0.2,1
20190724,PB,A,3,1,6,,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190724,PB,A,3,1,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190724,PB,A,3,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,0.5,0.5,1
